Deal Number,FE Price,FE Margin,F&I (BE) Margin,Grand Total Mrgn,After Tax Price ,Delivery Date
12791,"7,906.00","1,196.23",349.00,"1,545.23","8,519.65",05/10/2023 12:00:00.000 
12788,"10,784.98","1,093.99","2,713.00","3,806.99","14,915.23",05/09/2023 12:00:00.000 
12787,"2,759.00",811.00,544.00,"1,355.00","3,432.25",05/09/2023 12:00:00.000 
12782,"6,419.52","1,232.90","1,336.05","2,568.95","8,434.47",05/06/2023 12:00:00.000 
12776,"6,679.00",884.77,349.00,"1,233.77","7,115.00",05/06/2023 12:00:00.000 
12784,"7,649.00","1,135.90",644.00,"1,779.90","8,823.76",05/06/2023 12:00:00.000 
12786,"1,399.00",398.25,199.00,597.25,"1,669.59",05/06/2023 12:00:00.000 
12785,"10,720.00",962.89,519.00,"1,481.89","11,264.25",05/06/2023 12:00:00.000 
12780,"10,447.55","1,742.00",932.00,"2,674.00","11,120.80",05/06/2023 12:00:00.000 
12781,"10,219.00","1,667.45",972.76,"2,640.21","10,892.25",05/06/2023 12:00:00.000 
12783,"12,563.94","1,909.03","3,059.00","4,968.03","17,783.03",05/06/2023 12:00:00.000 
12775,"7,879.95",902.93,921.00,"1,823.93","10,098.16",05/06/2023 12:00:00.000 
12778,"1,459.00",510.28,199.00,709.28,"1,731.33",05/05/2023 12:00:00.000 
12770,836.00,302.50,349.00,651.50,"1,244.62",05/05/2023 12:00:00.000 
12773,"3,099.00",363.30,694.00,"1,057.30","4,486.05",05/05/2023 12:00:00.000 
12774,"3,099.00",363.27,694.00,"1,057.27","4,486.05",05/05/2023 12:00:00.000 
12772,"8,199.94",621.32,749.00,"1,370.32","10,372.57",05/05/2023 12:00:00.000 
12771,"18,967.00","7,153.47","1,359.00","8,512.47","17,167.25",05/04/2023 12:00:00.000 
12763,"7,400.00",737.80,449.00,"1,186.80","8,262.64",05/03/2023 12:00:00.000 
12761,"3,000.00","-2,127.34",0.00,"-2,127.34","3,281.10",05/03/2023 12:00:00.000 
12759,"4,525.00",-140.15,199.00,58.85,"4,886.25",05/02/2023 12:00:00.000 
12765,"15,829.00","3,198.87",696.39,"3,895.26","17,739.70",04/29/2023 12:00:00.000 
12767,"29,500.00","4,780.21","2,480.00","7,260.21","35,830.76",04/29/2023 12:00:00.000 
12764,"15,829.00","3,188.92",696.39,"3,885.31","17,739.70",04/29/2023 12:00:00.000 
